inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif
M-93A,P004 P123 P062 P325 P043,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-94A,P324 P086 P276 P050 P123,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-95A,P086 P123 P122 P040 P342,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-96A,P004 P124,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-97A,P004 P188 P073,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-98A,P324 P288 P127,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-99A,P324 P353 P122 P202 P038,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-100A,P013 P324 P073 P316 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-101A,P086 P210 P324 P003 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-102A,P004 P123 P154 P226,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-103A,P086 P124 P122 P378,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-104A,P013 P324 P050 P060 P359,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-105A,P324 P324 P364 P056 P326 P120 P154,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-106A,P324 P332 P000,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-107A,P324 P238 P058 P122 P054 P071,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-108A,P099 P378 P050 P201 P075 P230 P378,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-109A,P324 P381 P050 P092 P122 P084 P011,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-110A,P000 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-111A,P324 P160 P303 P058 P121 P378 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-112A,P324 P332 P056 P126 P111 P325 P285 P254,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-113A,P324 P145 P349 P325 P120 P156,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-114A,P324 P332 P283 P122 P205 P095,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-115A,P086 P352 P011 P194 P364 P122 P205 P076,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-116A,P324 P009 P194 P349 P139 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-117A,P217 P147 P316 P050 P364 P142 P122 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-118A,P324 P096 P147 P316 P058 P364 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
